PLAYER,TEAM,AFFILIATION,YEAR,"ROUND
Semi Ojeleye,Boston Celtics,Southern Methodist,2017,2,7,37
Sasha Vezenkov,Brooklyn Nets,FC Barcelona Basquet (Spain),2017,2,27,57
Ognjen Jaramaz,New York Knicks,KK Mega Leks (Serbia),2017,2,28,58
OG Anunoby,Toronto Raptors,Indiana,2017,1,23,23
Nigel Williams-Goss,Utah Jazz,Gonzaga,2017,2,25,55
Monte Morris,Denver Nuggets,Iowa State,2017,2,21,51
Mathias Lessort,Philadelphia 76ers,Nanterre 92 (France),2017,2,20,50
Markelle Fultz,Philadelphia 76ers,Washington,2017,1,1,1
Malik Monk,Charlotte Hornets,Kentucky,2017,1,11,11
Luke Kennard,Detroit Pistons,Duke,2017,1,12,12
Lonzo Ball,Los Angeles Lakers,California-Los Angeles,2017,1,2,2
Lauri Markkanen,Minnesota Timberwolves,Arizona,2017,1,7,7
Kyle Kuzma,Brooklyn Nets,Utah,2017,1,27,27
Kadeem Allen,Boston Celtics,Arizona,2017,2,23,53
Justin Patton,Chicago Bulls,Creighton,2017,1,16,16
Justin Jackson,Portland Trail Blazers,North Carolina,2017,1,15,15
Josh Jackson,Phoenix Suns,Kansas,2017,1,4,4
Josh Hart,Utah Jazz,Villanova,2017,1,30,30
Jordan Bell,Chicago Bulls,Oregon,2017,2,8,38
Jonathan Isaac,Orlando Magic,Florida State,2017,1,6,6
Jonah Bolden,Philadelphia 76ers,Red Star Belgrade (Serbia),2017,2,6,36
John Collins,Atlanta Hawks,Wake Forest,2017,1,19,19
Jayson Tatum,Boston Celtics,Duke,2017,1,3,3
Jawun Evans,Philadelphia 76ers,Oklahoma State,2017,2,9,39
Jarrett Allen,Brooklyn Nets,Texas,2017,1,22,22
Jaron Blossomgame,San Antonio Spurs,Clemson,2017,2,29,59
Jabari Bird,Boston Celtics,California,2017,2,26,56
Ivan Rabb,Orlando Magic,California,2017,2,5,35
Isaiah Hartenstein,Houston Rockets,BC Zalgiris (Lithuania),2017,2,13,43
Ike Anigbogu,Indiana Pacers,California-Los Angeles,2017,2,17,47
Harry Giles III,Portland Trail Blazers,Duke,2017,1,20,20
Frank Ntilikina,New York Knicks,SIG Strasbourg (France),2017,1,8,8
Frank Mason III,Sacramento Kings,Kansas,2017,2,4,34
Frank Jackson,Charlotte Hornets,Duke,2017,2,1,31
Edmond Sumner,New Orleans Pelicans,Xavier,2017,2,22,52
Dwayne Bacon,New Orleans Pelicans,Florida State,2017,2,10,40
Donovan Mitchell,Denver Nuggets,Louisville,2017,1,13,13
Dillon Brooks,Houston Rockets,Oregon,2017,2,15,45
Derrick White,San Antonio Spurs,Colorado,2017,1,29,29
Dennis Smith Jr.,Dallas Mavericks,North Carolina State,2017,1,9,9
De'Aaron Fox,Sacramento Kings,Kentucky,2017,1,5,5
Davon Reed,Phoenix Suns,Miami (FL),2017,2,2,32
Damyean Dotson,New York Knicks,Houston,2017,2,14,44
D.J. Wilson,Milwaukee Bucks,Michigan,2017,1,17,17
Caleb Swanigan,Portland Trail Blazers,Purdue,2017,1,26,26
Bam Adebayo,Miami Heat,Kentucky,2017,1,14,14
Anzejs Pasecniks,Orlando Magic,CB Gran Canaria (Spain),2017,1,25,25
Alpha Kaba,Atlanta Hawks,KK Mega Leks (Serbia),2017,2,30,60
Alec Peters,Phoenix Suns,Valparaiso,2017,2,24,54
Ben Simmons,Philadelphia 76ers,Louisiana State,2016,1,1,1
Brandon Ingram,Los Angeles Lakers,Duke,2016,1,2,2
Jaylen Brown,Boston Celtics,California,2016,1,3,3
Dragan Bender,Phoenix Suns,Maccabi Tel Aviv B.C. (Israel),2016,1,4,4
Kris Dunn,Minnesota Timberwolves,Providence,2016,1,5,5
Buddy Hield,New Orleans Pelicans,Oklahoma,2016,1,6,6
Jamal Murray,Denver Nuggets,Kentucky,2016,1,7,7
Marquese Chriss,Phoenix Suns,Washington,2016,1,8,8
Jakob Poeltl,Toronto Raptors,Utah,2016,1,9,9
Thon Maker,Milwaukee Bucks,,2016,1,10,10
Domantas Sabonis,Oklahoma City Thunder,Gonzaga,2016,1,11,11
Taurean Prince,Utah Jazz,Baylor,2016,1,12,12
Georgios Papagiannis,Sacramento Kings,Panathinaikos B.C. (Greece),2016,1,13,13
Denzel Valentine,Chicago Bulls,Michigan State,2016,1,14,14
Juancho Hernangomez,Denver Nuggets,Movistar Estudiantes,2016,1,15,15
Guerschon Yabusele,Boston Celtics,SPO Rouen Basket,2016,1,16,16
Wade Baldwin IV,Memphis Grizzlies,Vanderbilt,2016,1,17,17
Henry Ellenson,Detroit Pistons,Marquette,2016,1,18,18
Malik Beasley,Denver Nuggets,Florida State,2016,1,19,19
Caris LeVert,Indiana Pacers,Michigan,2016,1,20,20
DeAndre' Bembry,Atlanta Hawks,Saint Joseph's,2016,1,21,21
Malachi Richardson,Charlotte Hornets,Syracuse,2016,1,22,22
Ante Zizic,Boston Celtics,KK Cibona (Croatia),2016,1,23,23
Timothe Luwawu-Cabarrot,Philadelphia 76ers,KK Mega Vizura,2016,1,24,24
Brice Johnson,LA Clippers,North Carolina,2016,1,25,25
Furkan Korkmaz,Philadelphia 76ers,Anadolu Efes S.K. (Turkey),2016,1,26,26
Pascal Siakam,Toronto Raptors,New Mexico State,2016,1,27,27
Skal Labissiere,Sacramento Kings,Kentucky,2016,1,28,28
Dejounte Murray,San Antonio Spurs,Washington,2016,1,29,29
Damian Jones,Golden State Warriors,Vanderbilt,2016,1,30,30
Deyonta Davis,Boston Celtics,Michigan State,2016,2,1,31
Ivica Zubac,Los Angeles Lakers,KK Mega Vizura,2016,2,2,32
Cheick Diallo,LA Clippers,Kansas,2016,2,3,33
Tyler Ulis,Phoenix Suns,Kentucky,2016,2,4,34
Rade Zagorac,Boston Celtics,KK Mega Vizura,2016,2,5,35
Malcolm Brogdon,Milwaukee Bucks,Virginia,2016,2,6,36
Chinanu Onuaku,Houston Rockets,Louisville,2016,2,7,37
Patrick McCaw,Golden State Warriors,Nevada-Las Vegas,2016,2,8,38
David Michineau,New Orleans Pelicans,Elan Chalon (France),2016,2,9,39
Diamond Stone,New Orleans Pelicans,Maryland,2016,2,10,40
Stephen Zimmerman,Orlando Magic,Nevada-Las Vegas,2016,2,11,41
Isaiah Whitehead,Brooklyn Nets,Seton Hall,2016,2,12,42
Zhou Qi,Houston Rockets,Xinjiang Guanghui,2016,2,13,43
Isaia Cordinier,Atlanta Hawks,Denain ASC Voltaire,2016,2,14,44
Demetrius Jackson,Boston Celtics,Notre Dame,2016,2,15,45
AJ Hammons,Dallas Mavericks,Purdue,2016,2,16,46
Jake Layman,Orlando Magic,Maryland,2016,2,17,47
Paul Zipser,Chicago Bulls,FC Bayern Muenchen,2016,2,18,48
Michael Gbinije,Detroit Pistons,Syracuse,2016,2,19,49
Georges Niang,Indiana Pacers,Iowa State,2016,2,20,50
Ben Bentil,Boston Celtics,Providence,2016,2,21,51
Joel Bolomboy,Utah Jazz,Weber State,2016,2,22,52
Petr Cornelie,Denver Nuggets,Le Mans Sarthe Basket (France),2016,2,23,53
Kay Felder,Atlanta Hawks,Oakland,2016,2,24,54
Marcus Paige,Utah Jazz,North Carolina,2016,2,25,55
Daniel Hamilton,Denver Nuggets,Connecticut,2016,2,26,56
Wang Zhelin,Memphis Grizzlies,Fujian,2016,2,27,57
Abdel Nader,Boston Celtics,Iowa State,2016,2,28,58
Isaiah Cousins,Sacramento Kings,Oklahoma,2016,2,29,59
Tyrone Wallace,Utah Jazz,California,2016,2,30,60
Karl-Anthony Towns,Minnesota Timberwolves,Kentucky,2015,1,1,1
D'Angelo Russell,Los Angeles Lakers,Ohio State,2015,1,2,2
Jahlil Okafor,Philadelphia 76ers,Duke,2015,1,3,3
Kristaps Porzingis,New York Knicks,CB Sevilla (Spain),2015,1,4,4
Mario Hezonja,Orlando Magic,FC Barcelona Basquet (Spain),2015,1,5,5
Willie Cauley-Stein,Sacramento Kings,Kentucky,2015,1,6,6
Emmanuel Mudiay,Denver Nuggets,Guangdong Southern Tigers (China),2015,1,7,7
Stanley Johnson,Detroit Pistons,Arizona,2015,1,8,8
Frank Kaminsky,Charlotte Hornets,Wisconsin,2015,1,9,9
Justise Winslow,Miami Heat,Duke,2015,1,10,10
Myles Turner,Indiana Pacers,Texas,2015,1,11,11
Trey Lyles,Utah Jazz,Kentucky,2015,1,12,12
Devin Booker,Phoenix Suns,Kentucky,2015,1,13,13
Cameron Payne,Oklahoma City Thunder,Murray State,2015,1,14,14
Kelly Oubre Jr.,Atlanta Hawks,Kansas,2015,1,15,15
Terry Rozier,Boston Celtics,Louisville,2015,1,16,16
Rashad Vaughn,Milwaukee Bucks,Nevada-Las Vegas,2015,1,17,17
Sam Dekker,Houston Rockets,Wisconsin,2015,1,18,18
Jerian Grant,Washington Wizards,Notre Dame,2015,1,19,19
Delon Wright,Toronto Raptors,Utah,2015,1,20,20
Justin Anderson,Dallas Mavericks,Virginia,2015,1,21,21
Bobby Portis,Chicago Bulls,Arkansas,2015,1,22,22
Rondae Hollis-Jefferson,Portland Trail Blazers,Arizona,2015,1,23,23
Tyus Jones,Cleveland Cavaliers,Duke,2015,1,24,24
Jarell Martin,Memphis Grizzlies,Louisiana State,2015,1,25,25
Nikola Milutinov,San Antonio Spurs,KK Partizan (Serbia),2015,1,26,26
Larry Nance Jr.,Los Angeles Lakers,Wyoming,2015,1,27,27
RJ Hunter,Boston Celtics,Georgia State,2015,1,28,28
Chris McCullough,Brooklyn Nets,Syracuse,2015,1,29,29
Kevon Looney,Golden State Warriors,California-Los Angeles,2015,1,30,30
Cedi Osman,Minnesota Timberwolves,Anadolu Efes S.K. (Turkey),2015,2,1,31
Montrezl Harrell,Houston Rockets,Louisville,2015,2,2,32
Jordan Mickey,Boston Celtics,Louisiana State,2015,2,3,33
Anthony Brown,Los Angeles Lakers,Stanford,2015,2,4,34
Willy Hernangomez,Philadelphia 76ers,CB Sevilla (Spain),2015,2,5,35
Rakeem Christmas,Minnesota Timberwolves,Syracuse,2015,2,6,36
Richaun Holmes,Philadelphia 76ers,Bowling Green,2015,2,7,37
Darrun Hilliard,Detroit Pistons,Villanova,2015,2,8,38
Juan Pablo Vaulet,Charlotte Hornets,Bahia Basket (Argentina),2015,2,9,39
Josh Richardson,Miami Heat,Tennessee,2015,2,10,40
Pat Connaughton,Brooklyn Nets,Notre Dame,2015,2,11,41
Olivier Hanlan,Utah Jazz,Boston College,2015,2,12,42
Joe Young,Indiana Pacers,Oregon,2015,2,13,43
Andrew Harrison,Phoenix Suns,Kentucky,2015,2,14,44
Marcus Thornton,Boston Celtics,William & Mary,2015,2,15,45
Norman Powell,Milwaukee Bucks,California-Los Angeles,2015,2,16,46
Arturas Gudaitis,Philadelphia 76ers,BC Zalgiris (Lithuania),2015,2,17,47
Dakari Johnson,Oklahoma City Thunder,Kentucky,2015,2,18,48
Aaron White,Washington Wizards,Iowa,2015,2,19,49
Marcus Eriksson,Atlanta Hawks,FC Barcelona Basquet (Spain),2015,2,20,50
Tyler Harvey,Orlando Magic,Eastern Washington,2015,2,21,51
Satnam Singh,Dallas Mavericks,IMG Academy,2015,2,22,52
Sir'Dominic Pointer,Cleveland Cavaliers,St. John's (NY),2015,2,23,53
Daniel Diez,Utah Jazz,San Sebastian Gipuzkoa BC (Spain),2015,2,24,54
Cady Lalanne,San Antonio Spurs,Massachusetts,2015,2,25,55
Branden Dawson,New Orleans Pelicans,Michigan State,2015,2,26,56
Nikola Radicevic,Denver Nuggets,CB Sevilla (Spain),2015,2,27,57
JP Tokoto,Philadelphia 76ers,North Carolina,2015,2,28,58
Dimitrios Agravanis,Atlanta Hawks,Olympiacos B.C. (Greece),2015,2,29,59
Luka Mitrovic,Philadelphia 76ers,Red Star Belgrade (Serbia),2015,2,30,60
Andrew Wiggins,Cleveland Cavaliers,Kansas,2014,1,1,1
Jabari Parker,Milwaukee Bucks,Duke,2014,1,2,2
Joel Embiid,Philadelphia 76ers,Kansas,2014,1,3,3
Aaron Gordon,Orlando Magic,Arizona,2014,1,4,4
Dante Exum,Utah Jazz,Australian Institute of Sport (Australia),2014,1,5,5
Marcus Smart,Boston Celtics,Oklahoma State,2014,1,6,6
Julius Randle,Los Angeles Lakers,Kentucky,2014,1,7,7
Nik Stauskas,Sacramento Kings,Michigan,2014,1,8,8
Noah Vonleh,Charlotte Hornets,Indiana,2014,1,9,9
Elfrid Payton,Philadelphia 76ers,Louisiana-Lafayette,2014,1,10,10
Doug McDermott,Denver Nuggets,Creighton,2014,1,11,11
Dario Saric,Orlando Magic,KK Cibona (Croatia),2014,1,12,12
Zach LaVine,Minnesota Timberwolves,California-Los Angeles,2014,1,13,13
T.J. Warren,Phoenix Suns,North Carolina State,2014,1,14,14
Adreian Payne,Atlanta Hawks,Michigan State,2014,1,15,15
Jusuf Nurkic,Chicago Bulls,KK Cedevita (Croatia),2014,1,16,16
James Young,Boston Celtics,Kentucky,2014,1,17,17
Tyler Ennis,Phoenix Suns,Syracuse,2014,1,18,18
Gary Harris,Chicago Bulls,Michigan State,2014,1,19,19
Bruno Caboclo,Toronto Raptors,Esporte Clube Pinheiros (Brazil),2014,1,20,20
Mitch McGary,Oklahoma City Thunder,Michigan,2014,1,21,21
Jordan Adams,Memphis Grizzlies,California-Los Angeles,2014,1,22,22
Rodney Hood,Utah Jazz,Duke,2014,1,23,23
Shabazz Napier,Charlotte Hornets,Connecticut,2014,1,24,24
Clint Capela,Houston Rockets,Elan Chalon (France),2014,1,25,25
PJ Hairston,Miami Heat,Texas Legends (D-League),2014,1,26,26
Bogdan Bogdanovic,Phoenix Suns,KK Partizan (Serbia),2014,1,27,27
C.J. Wilcox,Los Angeles Clippers,Washington,2014,1,28,28
Josh Huestis,Oklahoma City Thunder,Stanford,2014,1,29,29
Kyle Anderson,San Antonio Spurs,California-Los Angeles,2014,1,30,30
Damien Inglis,Milwaukee Bucks,Chorale Roanne Basket (France),2014,2,1,31
KJ McDaniels,Philadelphia 76ers,Clemson,2014,2,2,32
Joe Harris,Cleveland Cavaliers,Virginia,2014,2,3,33
Cleanthony Early,New York Knicks,Wichita State,2014,2,4,34
Jarnell Stokes,Utah Jazz,Tennessee,2014,2,5,35
Johnny O'Bryant III,Milwaukee Bucks,Louisiana State,2014,2,6,36
DeAndre Daniels,Toronto Raptors,Connecticut,2014,2,7,37
Spencer Dinwiddie,Detroit Pistons,Colorado,2014,2,8,38
Jerami Grant,Philadelphia 76ers,Syracuse,2014,2,9,39
Glenn Robinson III,Minnesota Timberwolves,Michigan,2014,2,10,40
Nikola Jokic,Denver Nuggets,KK Mega Leks (Serbia),2014,2,11,41
Nick Johnson,Houston Rockets,Arizona,2014,2,12,42
Edy Tavares,Atlanta Hawks,CB Gran Canaria (Spain),2014,2,13,43
Markel Brown,Minnesota Timberwolves,Oklahoma State,2014,2,14,44
Dwight Powell,Charlotte Hornets,Stanford,2014,2,15,45
Jordan Clarkson,Washington Wizards,Missouri,2014,2,16,46
Russ Smith,Philadelphia 76ers,Louisville,2014,2,17,47
Lamar Patterson,Milwaukee Bucks,Pittsburgh,2014,2,18,48
Cameron Bairstow,Chicago Bulls,New Mexico,2014,2,19,49
Alec Brown,Phoenix Suns,Wisconsin-Green Bay,2014,2,20,50
Thanasis Antetokounmpo,New York Knicks,Delaware 87ers (D-League),2014,2,21,51
Vasilije Micic,Philadelphia 76ers,KK Mega Leks (Serbia),2014,2,22,52
Alessandro Gentile,Minnesota Timberwolves,Olimpia Milano (Italy),2014,2,23,53
Nemanja Dangubic,Philadelphia 76ers,KK Mega Leks (Serbia),2014,2,24,54
Semaj Christon,Miami Heat,Xavier,2014,2,25,55
Devyn Marble,Denver Nuggets,Iowa,2014,2,26,56
Louis Labeyrie,Indiana Pacers,Paris-Levallois Basket (France),2014,2,27,57
Jordan McRae,San Antonio Spurs,Tennessee,2014,2,28,58
Xavier Thames,Toronto Raptors,San Diego State,2014,2,29,59
Cory Jefferson,San Antonio Spurs,Baylor,2014,2,30,60
Anthony Bennett,Cleveland Cavaliers,Nevada-Las Vegas,2013,1,1,1
Victor Oladipo,Orlando Magic,Indiana,2013,1,2,2
Otto Porter Jr.,Washington Wizards,Georgetown,2013,1,3,3
Cody Zeller,Charlotte Bobcats,Indiana,2013,1,4,4
Alex Len,Phoenix Suns,Maryland,2013,1,5,5
Nerlens Noel,New Orleans Pelicans,Kentucky,2013,1,6,6
Ben McLemore,Sacramento Kings,Kansas,2013,1,7,7
Kentavious Caldwell-Pope,Detroit Pistons,Georgia,2013,1,8,8
Trey Burke,Minnesota Timberwolves,Michigan,2013,1,9,9
CJ McCollum,Portland Trail Blazers,Lehigh,2013,1,10,10
Michael Carter-Williams,Philadelphia 76ers,Syracuse,2013,1,11,11
Steven Adams,Oklahoma City Thunder,Pittsburgh,2013,1,12,12
Kelly Olynyk,Dallas Mavericks,Gonzaga,2013,1,13,13
Shabazz Muhammad,Utah Jazz,California-Los Angeles,2013,1,14,14
Giannis Antetokounmpo,Milwaukee Bucks,Basket Zaragoza 2002 (Spain),2013,1,15,15
Lucas Nogueira,Boston Celtics,CB Estudiantes (Spain),2013,1,16,16
Dennis Schroder,Atlanta Hawks,Basketball Lowen Braunschweig (Germany),2013,1,17,17
Shane Larkin,Atlanta Hawks,Miami (FL),2013,1,18,18
Sergey Karasev,Cleveland Cavaliers,B.C. Zenit Saint Petersburg (Russia),2013,1,19,19
Tony Snell,Chicago Bulls,New Mexico,2013,1,20,20
Gorgui Dieng,Utah Jazz,Louisville,2013,1,21,21
Mason Plumlee,Brooklyn Nets,Duke,2013,1,22,22
Solomon Hill,Indiana Pacers,Arizona,2013,1,23,23
Tim Hardaway Jr.,New York Knicks,Michigan,2013,1,24,24
Reggie Bullock Jr.,Los Angeles Clippers,North Carolina,2013,1,25,25
Andre Roberson,Minnesota Timberwolves,Colorado,2013,1,26,26
Rudy Gobert,Denver Nuggets,Cholet Basket (France),2013,1,27,27
Livio Jean-Charles,San Antonio Spurs,ASVEL Basket (France),2013,1,28,28
Archie Goodwin,Oklahoma City Thunder,Kentucky,2013,1,29,29
Nemanja Nedovic,Phoenix Suns,BC Lietuvos rytas (Lithuania),2013,1,30,30
Allen Crabbe,Cleveland Cavaliers,California,2013,2,1,31
Alex Abrines,Oklahoma City Thunder,FC Barcelona Basquet (Spain),2013,2,2,32
Carrick Felix,Cleveland Cavaliers,Arizona State,2013,2,3,33
Isaiah Canaan,Houston Rockets,Murray State,2013,2,4,34
Glen Rice,Philadelphia 76ers,Michigan,2013,2,5,35
Ray McCallum,Sacramento Kings,Detroit Mercy,2013,2,6,36
Tony Mitchell,Detroit Pistons,North Texas,2013,2,7,37
Nate Wolters,Washington Wizards,South Dakota State,2013,2,8,38
Jeff Withey,Portland Trail Blazers,Kansas,2013,2,9,39
Grant Jerrett,Portland Trail Blazers,Arizona,2013,2,10,40
Jamaal Franklin,Memphis Grizzlies,San Diego State,2013,2,11,41
Pierre Jackson,Philadelphia 76ers,Baylor,2013,2,12,42
Ricky Ledo,Milwaukee Bucks,Providence,2013,2,13,43
Mike Muscala,Dallas Mavericks,Bucknell,2013,2,14,44
Marko Todorovic,Portland Trail Blazers,FC Barcelona Basquet (Spain),2013,2,15,45
Erick Green,Utah Jazz,Virginia Tech,2013,2,16,46
Raul Neto,Atlanta Hawks,San Sebastian Gipuzkoa BC (Spain),2013,2,17,47
Ryan Kelly,Los Angeles Lakers,Duke,2013,2,18,48
Erik Murphy,Chicago Bulls,Florida,2013,2,19,49
James Ennis III,Atlanta Hawks,Long Beach State,2013,2,20,50
Romero Osby,Orlando Magic,Oklahoma,2013,2,21,51
Lorenzo Brown,Minnesota Timberwolves,North Carolina State,2013,2,22,52
Colton Iverson,Indiana Pacers,Colorado State,2013,2,23,53
Arsalan Kazemi,Washington Wizards,Oregon,2013,2,24,54
Joffrey Lauvergne,Memphis Grizzlies,KK Partizan (Serbia),2013,2,25,55
Peyton Siva,Detroit Pistons,Louisville,2013,2,26,56
Alex Oriakhi,Phoenix Suns,Missouri,2013,2,27,57
Deshaun Thomas,San Antonio Spurs,Ohio State,2013,2,28,58
Bojan Dubljevic,Minnesota Timberwolves,Valencia BC (Spain),2013,2,29,59
Janis Timma,Memphis Grizzlies,BK Ventspils (Latvia),2013,2,30,60
Anthony Davis,New Orleans Hornets,Kentucky,2012,1,1,1
Michael Kidd-Gilchrist,Charlotte Bobcats,Kentucky,2012,1,2,2
Bradley Beal,Washington Wizards,Florida,2012,1,3,3
Dion Waiters,Cleveland Cavaliers,Syracuse,2012,1,4,4
Thomas Robinson,Sacramento Kings,Kansas,2012,1,5,5
Damian Lillard,Portland Trail Blazers,Weber State,2012,1,6,6
Harrison Barnes,Golden State Warriors,North Carolina,2012,1,7,7
Terrence Ross,Toronto Raptors,Washington,2012,1,8,8
Andre Drummond,Detroit Pistons,Connecticut,2012,1,9,9
Austin Rivers,New Orleans Hornets,Duke,2012,1,10,10
Meyers Leonard,Portland Trail Blazers,Illinois,2012,1,11,11
Jeremy Lamb,Houston Rockets,Connecticut,2012,1,12,12
Kendall Marshall,Phoenix Suns,North Carolina,2012,1,13,13
John Henson,Milwaukee Bucks,North Carolina,2012,1,14,14
Maurice Harkless,Philadelphia 76ers,St. John's (NY),2012,1,15,15
Royce White,Houston Rockets,Iowa State,2012,1,16,16
Tyler Zeller,Dallas Mavericks,North Carolina,2012,1,17,17
Terrence Jones,Houston Rockets,Kentucky,2012,1,18,18
Andrew Nicholson,Orlando Magic,St. Bonaventure,2012,1,19,19
Evan Fournier,Denver Nuggets,Poitiers Basket 86 (France),2012,1,20,20
Jared Sullinger,Boston Celtics,Ohio State,2012,1,21,21
Fab Melo,Boston Celtics,Syracuse,2012,1,22,22
John Jenkins,Atlanta Hawks,Vanderbilt,2012,1,23,23
Jared Cunningham,Cleveland Cavaliers,Oregon State,2012,1,24,24
Tony Wroten,Memphis Grizzlies,Washington,2012,1,25,25
Miles Plumlee,Indiana Pacers,Duke,2012,1,26,26
Arnett Moultrie,Miami Heat,Mississippi State,2012,1,27,27
Perry Jones III,Oklahoma City Thunder,Baylor,2012,1,28,28
Marquis Teague,Chicago Bulls,Kentucky,2012,1,29,29
Festus Ezeli,Golden State Warriors,Vanderbilt,2012,1,30,30
Jeffery Taylor,Charlotte Bobcats,Vanderbilt,2012,2,1,31
Tomas Satoransky,Washington Wizards,CB Sevilla (Spain),2012,2,2,32
Bernard James,Cleveland Cavaliers,Florida State,2012,2,3,33
Jae Crowder,Cleveland Cavaliers,Marquette,2012,2,4,34
Draymond Green,Golden State Warriors,Michigan State,2012,2,5,35
Orlando Johnson,Sacramento Kings,California-Santa Barbara,2012,2,6,36
Quincy Acy,Toronto Raptors,Baylor,2012,2,7,37
Quincy Miller,Denver Nuggets,Baylor,2012,2,8,38
Khris Middleton,Detroit Pistons,Texas A&M,2012,2,9,39
Will Barton,Portland Trail Blazers,Memphis,2012,2,10,40
Tyshawn Taylor,Portland Trail Blazers,Kansas,2012,2,11,41
Doron Lamb,Milwaukee Bucks,Kentucky,2012,2,12,42
Mike Scott,Atlanta Hawks,Virginia,2012,2,13,43
Kim English,Detroit Pistons,Missouri,2012,2,14,44
Justin Hamilton,Philadelphia 76ers,Louisiana State,2012,2,15,45
Darius Miller,New Orleans Hornets,Kentucky,2012,2,16,46
Kevin Murphy,Utah Jazz,Tennessee Tech,2012,2,17,47
Kostas Papanikolaou,New York Knicks,Olympiacos B.C. (Greece),2012,2,18,48
Kyle O'Quinn,Orlando Magic,Norfolk State,2012,2,19,49
Izzet Turkyilmaz,Denver Nuggets,Banvit B.K. (Turkey),2012,2,20,50
Kyrie Irving,Cleveland Cavaliers,Duke,2011,1,1,1
Derrick Williams,Minnesota Timberwolves,Arizona,2011,1,2,2
Enes Freedom,Utah Jazz,Kentucky,2011,1,3,3
Tristan Thompson,Cleveland Cavaliers,Texas,2011,1,4,4
Jonas Valanciunas,Toronto Raptors,BC Lietuvos rytas (Lithuania),2011,1,5,5
Jan Vesely,Washington Wizards,KK Partizan (Serbia),2011,1,6,6
Bismack Biyombo,Sacramento Kings,Baloncesto Fuenlabrada (Spain),2011,1,7,7
Brandon Knight,Detroit Pistons,Kentucky,2011,1,8,8
Kemba Walker,Charlotte Bobcats,Connecticut,2011,1,9,9
Jimmer Fredette,Milwaukee Bucks,Brigham Young,2011,1,10,10
Klay Thompson,Golden State Warriors,Washington State,2011,1,11,11
Alec Burks,Utah Jazz,Colorado,2011,1,12,12
Markieff Morris,Phoenix Suns,Kansas,2011,1,13,13
Marcus Morris Sr.,Houston Rockets,Kansas,2011,1,14,14
Kawhi Leonard,Indiana Pacers,San Diego State,2011,1,15,15
Nikola Vucevic,Philadelphia 76ers,Southern California,2011,1,16,16
